Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Foppolo/Carona (Brembo Ski),Italija,1160,2163,22,2,4,9,40
Torgnon,Italija,1515,2246,20,2,6,7,38
Jaun,Švica,1023,1571,20,2,9,4,47
Brambrüesch/Dreibündenstein – Chur,Švica,1170,2174,20,4,8,5,48
Bonneval sur Arc,Francija,1797,2947,32,3.5,9,10,36
Petzen – Feistritz ob Bleiburg,Avstrija,650,1900,14.6,0.3,7.2,6,45.50
Roc d'Enfer – St. Jean dAulps-La Grande Terche/Bellevaux-La Chèvrerie,Francija,950,1800,28,1,6,16,39
Rittner Horn (Corno del Renon) – Ritten (Renon),Italija,1538,2260,13,2.4,8,3,42
Forni di Sopra,Italija,882,2066,12.7,0.8,1.1,8,44
Stari Vrh,Slovenija,580,1217,12,2,4,4,35
La Colmiane,Francija,1450,1800,30,3,21,7,25
Giw – Visperterminen,Švica,1381,2309,20.5,4.5,3.5,5,52
Sainte-Anne la Condamine – La Condamine-Châtelard,Francija,1830,2400,31.6,2.8,18.3,6,24.60
Schetteregg – Egg,Avstrija,1070,1325,11,1,4,8,46
San Vito di Cadore,Italija,1048,1584,10,1,4,5,51
Reith bei Kitzbühel,Avstrija,770,865,1.8,0,1.7,2,Ni podatka
Gaissau-Hintersee,Avstrija,750,1567,30,1,20,8,42
Molines-en-Queyras/Saint-Véran,Francija,1750,2800,33,1,20,13,39.90
Albiez-Montrond,Francija,1520,2100,35,3,25,7,31.50
Réallon,Francija,1560,2146,30,2,20,6,29
Monte Verena – Mezzaselva di Roana,Italija,1640,2020,15,7,5,5,45
Gemeindealpe – Mitterbach am Erlaufsee,Avstrija,800,1626,15.5,1.5,7,4,50.50
Obertilliach – Golzentipp,Avstrija,1430,2248,12.2,1,3.4,5,46
Altopiano di Brentonico – Polsa/San Valentino,Italija,1195,1583,22,4.4,6.8,7,48
Hündle/Thalkirchdorf (Oberstaufen),Nemčija,745,1170,18,0.6,10.1,8,47
Roubion les Buisses,Francija,1420,1920,30,2,16,7,20
Steibis – Imberg (Oberstaufen),Nemčija,859,1338,17.6,6.6,6,12,50
Oeschinensee – Kandersteg,Švica,1200,1730,13,0,4.1,6,42
Krippenstein – Obertraun,Avstrija,609,2109,12,0,3,7,59.50
Gressoney-Saint-Jean – Weissmatten,Italija,1348,2023,12,2,6,4,31
Pelvoux/Vallouise,Francija,1250,2300,25,1.7,14.8,7,27
Ceillac en Queyras,Francija,1650,2500,25,1,12,6,37.20
Rofan – Maurach,Avstrija,980,1870,11,2,1,5,42.50
Passo dello Stelvio (Stelvio Pass),Italija,2760,3450,9,0,8,6,59
Bernex,Francija,996,1871,19,4,8,11,29
Karkogel – Abtenau,Avstrija,712,1200,9,3,4.4,5,40
Arnoldstein – Dreiländereck,Avstrija,680,1550,15.1,3.2,4.7,7,Ni podatka
Bürgeralpe – Mariazell,Avstrija,851,1267,11.5,1.5,7,4,50.50
Baranci (Haunold) – San Candido (Innichen),Italija,1175,1610,12.6,0.3,7.2,5,61
Chabanon,Francija,1546,2025,40,7,18,12,29.30
Darlux – Bergün,Švica,1384,2569,20,1,4,3,48
Hochkar – Göstling,Avstrija,1380,1808,19.2,2.8,5.6,8,Ni podatka
Wispile – Gstaad,Švica,1043,1939,8.9,1.6,3.6,5,89
LeMelette – Gallio,Italija,1413,1733,18.2,4.1,2.2,4,42
Unterbäch – Brandalp/Ginals,Švica,1230,2443,19,3,10,7,57
Antagnod,Italija,1730,2307,10.7,0.3,6.4,4,31
Piancavallo,Italija,1245,1865,13.3,1.1,2.2,12,44
Passo Maniva,Italija,1511,2088,20,1.5,13.5,7,37
Alpe di Mera – Scopello,Italija,682,1739,17,1,2.7,7,42
Ancelle,Francija,1340,1807,30,2,16,13,29.30
Thollon les Mémises,Francija,1370,1874,17,1,6,15,29.50
Crévacol,Italija,1667,2454,21,3,7,3,35
Elsigen-Metsch – Frutigen,Švica,1334,2289,30,3,10,11,Ni podatka
Karwendel Bergbahn (Zwölferkopf) – Pertisau,Avstrija,960,1560,12,0,6,5,34.50
Le Semnoz,Francija,1450,1704,18,1,12,10,17.50
L'Essert – Abondance,Francija,936,1730,15,1,11,8,27.50
Saint-Léger-les-Mélèzes,Francija,1260,1982,24,2,10,8,27.50
Aillons-Margériaz,Francija,1370,1785,24,1.8,18.2,10,29
Lizzola,Italija,1262,2028,20,0,2,5,38
Col de Rousset,Francija,1255,1700,29,2,22,11,26
Auronzo di Cadore – Monte Agudo,Italija,856,1585,6.1,0.7,0.2,3,49
Fendels,Avstrija,1325,2271,8.5,1.1,3.8,6,50
Les Mosses/La Lécherette,Švica,1379,1874,40,2.5,10,14,52
Sampeyre,Italija,995,1860,17.2,1,9.4,2,25
Kranjska Gora,Slovenija,807,1282,20,2,10,15,47
TschentenAlp – Adelboden,Švica,1367,1950,10,1.5,1.5,4,53
Klippitztörl,Avstrija,1460,1818,28,0,18,6,46
Marbach – Marbachegg,Švica,885,1474,7.4,0,5,5,44
Sarn (Heinzenberg),Švica,1300,2075,20,2,8,4,38
Planneralm – Donnersbach,Avstrija,1600,2000,16,2,2,6,56
Chiomonte Frais,Italija,1460,2090,19,1,6,4,25
Steckenberg – Unterammergau,Nemčija,840,1050,2.7,0,1,6,23
Bielmonte,Italija,1229,1621,20,2,10,7,42
Argentera,Italija,1630,2480,20,2,10,4,10
Bödele – Schwarzenberg,Avstrija,700,1467,25,4,9,12,44.90
Hochwang – Goldgruben,Švica,1544,2299,20,2,9,3,58
Piana di Vigezzo – Craveggia/Santa Maria Maggiore,Italija,1513,2064,6.2,0.9,1.8,4,35
Le Grand Puy,Francija,1280,1736,22,3,12,5,20
Méaudre,Francija,1012,1600,18,1,12,8,23.50
Rosswald – Brig,Švica,1820,2536,9,4,3,6,52
Spiazzi di Gromo,Italija,1156,1705,15,2,1,4,35
Monte Bianco – Courmayeur,Italija,1370,3466,nan,nan,nan,2,80
Sappada,Italija,1223,2000,14.5,2.3,4,9,44
Audibergue,Francija,1405,1657,29,1,16,6,18
La Fouly,Švica,1607,2172,15,5,6,4,49
Kellerjoch – Schwaz,Avstrija,1352,1887,14,2.1,9.5,5,44
Pian Munè – Paesana,Italija,1530,2060,16,2,7,4,23
Panarotta 2002 – Valsugana,Italija,1518,2002,18,6,6,5,30
Céüze 2000 – Gap,Francija,1550,2020,35,0,20,8,19
Aflenz Bürgeralm,Avstrija,810,1810,14,2,2,8,40
Krinnenalpe – Nesselwängle,Avstrija,1150,1671,13,1,5,6,43
Champex-Lac (Orsières),Švica,1468,2194,15,1.5,10.5,4,49
Serles – Mieders,Avstrija,960,1674,5.7,0,2.2,5,46
Autrans – La Sure,Francija,1050,1710,20,2,10,7,23.50
Ötscher – Lackenhof (Gaming),Avstrija,812,1426,15.5,3.6,5.3,7,Ni podatka
Breitenberg/Hochalpe – Pfronten,Nemčija,800,1675,7,0,0,5,34
Eischoll,Švica,1260,2200,15,0.5,10,4,52
Arolla,Švica,1984,2877,26.7,3,18.3,6,51
Wiriehorn,Švica,984,1868,11.2,0,4.8,6,58
Bivio,Švica,1769,2560,27,3,12,4,50
Amden – Arvenbüel/Mattstock,Švica,931,1684,17,0,5.5,6,40
Sattel – Hochstuckli,Švica,800,1491,3,0,2,6,37
Rogla,Slovenija,1050,1517,12,1.5,2,12,45
Saint-Michel-de-Chaillol,Francija,1450,2000,13,3,5,8,27.50
Gresse en Vercors,Francija,1245,1751,20,5,8,11,27
Tarscher Alm (Malga di Tarres) – Latsch (Laces),Italija,1184,2250,11,0,1,4,Ni podatka
Zahmer Kaiser – Walchsee,Avstrija,600,1200,13,0,11,3,35
La Grave – La Meije,Francija,1470,3534,3,0,3,3,62
Prali,Italija,1450,2510,9,3,2,4,30
Graukogel – Bad Gastein,Avstrija,1079,2007,11.9,2,3.5,3,51
Passo Rolle (Rolle Pass),Italija,1873,2216,15,3,5,6,67
Heidbodme – Saas-Almagell,Švica,1684,2347,15.4,0,6.9,7,58
Crêt-Béni/La Combe – La Chapelle d'Abondance,Francija,1020,1630,10,0,4,7,34
Unternberg (Ruhpolding),Nemčija,710,1417,2.5,0,1.5,3,32
Vichères (Liddes),Švica,1595,2267,15,3,7,4,49
Borno – Monte Altissimo,Italija,956,1694,12.8,3.1,0.5,6,34
Bagolino,Italija,1458,2092,15,2,3,6,Ni podatka
Monte Pora,Italija,1387,1880,14,0.6,4.8,7,44
Rothwald/Wasenalp (Simplon Pass),Švica,1750,2270,25,5,5,3,47
Recoaro Mille,Italija,1010,1630,8,2,3,4,27
Mittagbahn – Immenstadt,Nemčija,750,1416,9,2,1,2,30
Naggler Alm – Techendorf (Weissensee),Avstrija,930,1324,6,0,3.5,5,47.50
Elfer – Neustift,Avstrija,981,2080,2.5,0,0,3,46
Engstligenalp – Adelboden,Švica,1971,2353,17,4,7,8,Ni podatka
Arvieux,Francija,1550,2200,18,8,8,6,Ni podatka
Axalp ob Brienz,Švica,1422,1959,15,2.5,11,6,58
Feldis,Švica,1480,1996,10.3,2.5,0.3,4,41
Fageralm – Forstau,Avstrija,930,1885,14.2,0,9.3,7,67
Gerlosstein,Avstrija,929,1836,10,1,1,5,79
Wolzenalp – Krummenau,Švica,728,1464,12.2,3,0.2,6,40
Grüntenlifte – Kranzegg (Rettenberg),Nemčija,900,1700,16.8,0,2.1,8,32
Tschappina/Urmein (Heinzenberg),Švica,1580,2180,25,0,4,7,40
Brunni – Engelberg,Švica,1013,2075,8.5,1.9,3.7,10,49
Eckbauer – Garmisch-Partenkirchen,Nemčija,730,1230,3.6,0.6,0,3,42
Hochgrat (Oberstaufen),Nemčija,856,1708,nan,nan,nan,Ni podatka,41.30
Vigiljoch (Monte San Vigilio) – Lana,Italija,1486,1814,3.4,0,1.4,4,22
Reither Kogel – Reith im Alpbachtal,Avstrija,670,1280,4,0,0.6,5,68.50
Cogne – Gran Paradiso,Italija,1530,2267,8,1,2,4,36
La Sambuy – Seythenex,Francija,1150,1851,10,4,3,5,19.50
Aiguille du Midi (Chamonix),Francija,1035,3842,nan,nan,nan,5,71
Domobianca,Italija,1088,1845,7.5,2.1,2.1,6,40
Hauereck – St. Kathrein am Hauenstein,Avstrija,1000,1305,4.1,0,1.7,4,38.50
Crévoux,Francija,1600,2536,21.5,1.7,12.3,6,28
Lans en Vercors,Francija,1400,1807,24,2,13,12,25
Kope,Slovenija,1010,1542,10.5,4.8,2.1,8,39
Pischa (Davos Klosters),Švica,1800,2483,nan,nan,nan,Ni podatka,53
Wallberg – Rottach-Egern,Nemčija,790,1620,3.2,3.2,0,Ni podatka,Ni podatka
Monesi di Triora,Italija,1389,2164,9,0.2,4.8,2,16
Annaberg,Avstrija,896,1300,12.5,2,8,6,50.50
Garéssio 2000,Italija,1342,1578,12,0.6,7.2,4,28
Gréolières les Neiges,Francija,1400,1800,18.6,1.9,8.8,9,27
Pescegallo – Valgerola,Italija,1450,2000,9.6,3,4.6,4,33
Alpe Teglio – Prato Valentino,Italija,1690,2340,9,0,3,2,29
Monte Baldo – Malcesine/Prà Alpesina,Italija,1446,1837,10,2,2,6,Ni podatka
Kampenwand – Aschau im Chiemgau,Nemčija,626,1475,5,0,0,4,32
Furkel – Trafoi (Stilfs),Italija,1530,2400,8.3,1,4.3,4,46
Heutal – Unken,Avstrija,970,1531,11,0,6,4,37
Burglift – Stans,Avstrija,560,690,0.5,0,0.5,3,30
Les Planards,Francija,1062,1249,2.5,0,1.5,4,30.20
Jenner – Schönau am Königssee,Nemčija,1530,1800,nan,nan,nan,3,43
St. Gréé,Italija,1052,1740,8.8,1.6,4,2,24
Chamois,Italija,1812,2499,8,0,1,6,30
San Simone (Brembo Ski),Italija,1668,2100,10.5,3.5,2,6,28
Hirnkopf – Flattnitz (Glödnitz),Avstrija,1400,1840,11.3,4.3,5.5,5,24
Brusson – Estoul,Italija,1736,2234,10,0,3,4,31
Schwanden – Sigriswil,Švica,1070,1460,20,3,11,3,34
Grimmialp,Švica,1233,1833,7.2,2.8,3,3,45
Ebenalp-Horn – Wasserauen/Schwende,Švica,848,1720,10,1.5,1,7,40
Pontechianale,Italija,1623,2654,7.5,0,1.5,5,25
Kranzberg – Mittenwald,Nemčija,980,1350,15,2,6,10,32
Lurisia – Monte Pigna,Italija,814,1734,17,2,4,5,28
Niedere – Andelsbuch/Bezau,Avstrija,655,1715,3.9,0.4,2.5,4,36
Alpe Devero – Baceno,Italija,1640,2240,8,1,2,3,30
Faschina (Fontanella),Avstrija,1450,1980,6.8,0,5.5,7,54.50
Kiental,Švica,926,1490,7,0,2,3,37
Golte,Slovenija,1150,1570,8.5,0.7,2.9,7,39
Sonntag-Stein,Avstrija,1300,1750,7,0,4,3,48
Wendelstein – Brannenburg/Osterhofen,Nemčija,791,1723,11.2,4.2,0,4,47
Herzogstand – Walchensee,Nemčija,809,1634,6,1,0.8,2,22
Passy Plaine Joux,Francija,1340,1740,12,0,8,7,25
Unterberg,Avstrija,710,1324,16,0,11,5,36.50
Ala di Stura,Italija,1000,1890,5.4,0.7,1.7,4,Ni podatka
Jeizinen Feselalp – Gampel/Steg,Švica,1519,2193,8,0,6,6,55
Schatzalp – Strela,Švica,1609,2352,7.8,0,6.1,4,46
Gaaler Lifte – Gaal,Avstrija,860,1230,8,0.5,3.5,3,45
Zinkenlifte – Dürrnberg (Hallein),Avstrija,837,1321,8,0.5,2,3,36.20
Biel-Kinzig – Bürglen,Švica,1630,1930,7,0,2.5,5,42
Colle di Joux,Italija,1610,1957,8,1.5,4,2,Ni podatka
Tirolina (Haltjochlift) – Hinterthiersee,Avstrija,852,1077,4,0.8,2,2,25
Trins,Avstrija,1189,1268,1,0,1,Ni podatka,19
Bichlalm,Avstrija,904,1597,3.6,0,3.6,Ni podatka,44
Koralpe,Avstrija,1650,2070,18,2,7,5,41.50
Chanavey,Italija,1723,2131,6,2,1,Ni podatka,23
Velika Planina,Slovenija,1412,1666,3,0.8,0.3,4,29
Niederalpl – Mürzsteg (Neuberg an der Mürz),Avstrija,1220,1460,12,0,4,6,48
La Féclaz,Francija,1326,1525,10.5,1.5,6,5,25
Rüschegg-Eywald – Lischboden,Švica,1050,1550,13,1,8,2,40
Espace Super Saint-Bernard – Bourg-St-Pierre,Švica,1950,2800,25,12,3,3,40
Mottarone,Italija,1305,1491,17.9,1.1,5.6,6,34
Mörlialp – Giswil,Švica,1355,1837,12,2,2.8,8,48
Brunnalm/Hohe Veitsch – Veitsch (St. Barbara im Mürztal),Avstrija,1064,1450,10.5,2,5,6,45
Niederhorn – Beatenberg,Švica,1127,1945,5,0,2,3,46
Le Revard,Francija,1294,1562,8.1,1.1,5,5,25
Weinebene – Frantschach-Sankt Gertraud,Avstrija,1580,1886,18,0,8,8,37.50
Alpe del Nevegal,Italija,1041,1614,5.5,0.5,1,5,39
Eggberge – Altdorf,Švica,1460,1740,8,0,4,2,34
Schneeberg,Avstrija,780,1210,3.8,0,1,5,32.50
Kötschach-Mauthen – Vorhegg,Avstrija,710,1300,6,0,4,4,40
Castelrotto (Kastelruth),Italija,1092,1154,0.5,0,0.5,3,Ni podatka
Languard – Pontresina,Švica,1830,1920,1,0,1,5,37
Rieseralm – Obdach,Avstrija,1320,1620,13,2,5,6,39
Fideriser Heuberge – Arflina,Švica,1952,2356,15,1,5,4,49
Laber – Oberammergau,Nemčija,900,1684,4,4,0,Ni podatka,32.50
Königsberg – Hollenstein an der Ybbs,Avstrija,700,1057,14,2,7,6,32
Soriška Planina,Slovenija,1290,1549,7,1,2,5,28
Piazzatorre,Italija,1110,1780,4.2,0.7,1.5,2,27
Schwefelberg – Badmatte/Louigrat,Švica,1386,1704,15,2,5,Ni podatka,30
Oropa – Biella,Italija,1206,2388,6,0,0,2,Ni podatka
Valgrisenche,Italija,1664,2050,5,2,1.5,2,21
Hochhäderich – Hittisau,Avstrija,1250,1600,10.5,2,3.5,5,45
Aillon-le-Jeune,Francija,945,1257,8,0,1.5,5,Ni podatka
Simonhöhe – St. Urban,Avstrija,1042,1340,15,0,8,7,45
Cordon,Francija,1050,1600,11,0,4,7,25
Col de l'Arzelier,Francija,1154,1300,6,1,3,5,15
Atzmännig – Goldingen,Švica,821,1198,8,0,3,5,37
Španov vrh,Slovenija,981,1361,5,0,3,Ni podatka,25
Rigi – Scheidegg/Burggeist,Švica,1012,1656,5,0,5,5,Ni podatka
Malga San Giorgio,Italija,1495,1806,5,0.6,0.6,2,23
Entracque,Italija,944,1109,5,1,3,3,28
Schneeberglifte – Mitterland (Thiersee),Avstrija,800,1000,3,0.1,0.8,4,25
Stinesser Lifte – Fischen i. Allgäu,Nemčija,761,891,1,0,0.6,2,24
Archenstadel – Rinn,Avstrija,918,1004,1,0,1,Ni podatka,23
Mont Serein/Mont Ventoux Nord,Francija,1400,1800,12,1.5,4.5,7,26
Rigi,Švica,1315,1752,9,0,4.5,7,83
Font d'Urle – Chaud Clapier,Francija,1279,1572,12,0.5,3,11,26
Gitschenen – Isenthal,Švica,1353,1570,5,0,3,2,34
Laye,Francija,1300,1850,10,1,4,5,23.40
Hohentauern,Avstrija,1241,1734,11,1,3,6,46.50
Les Paccots/Châtel-St-Denis – Corbetta,Švica,1065,1593,9,2,5,11,41
Buchenberg – Buching (Halblech),Nemčija,800,1141,5,0,5,Ni podatka,27
Valbella – Gallio,Italija,1100,1311,11.2,0.7,8,6,Ni podatka
Säntis – Schwägalp,Švica,1351,2473,nan,nan,nan,Ni podatka,Ni podatka
Saint Hilaire du Touvet,Francija,818,1415,5.7,0,3.2,6,16
Usséglio – Pian Benot,Italija,1618,2040,5.4,2.1,0.6,5,28
Salzstiegl – Hirschegg,Avstrija,1320,1740,12,2,6,7,46
Gspon (Staldenried),Švica,1865,2193,5,0,1.5,4,44
Ratzi – Spiringen,Švica,950,1840,3.6,0,2,2,38
Heidialm Skipark – Falkert,Avstrija,1840,2107,11,0,3,3,37
Avers,Švica,1988,2539,8,4,2,3,37
Pradel – Molveno,Italija,1370,1530,0.7,0,0.7,2,30
Les Pléiades,Švica,1080,1360,8,0,4,7,39
Misurina – Passo Tre Croci,Italija,1752,2114,4.2,0.5,0.8,2,49
Selital – Schwarzenbühl,Švica,1299,1606,10.1,1.1,4.7,3,42
Rein in Taufers (Riva di Tures),Italija,1583,1835,4,0,2,2,33
Buron – Wertach,Nemčija,890,1418,7.7,1,4.4,3,22
Serre-Eyraud (Orcières),Francija,1480,2100,7.4,1,3.2,3,18
Schwabenbergarena – Turnau,Avstrija,800,1250,10,1,3,4,43
Dammkar – Mittenwald,Nemčija,933,2244,nan,nan,nan,Ni podatka,44.90
Untersberg – Grödig,Avstrija,469,1776,nan,nan,nan,Ni podatka,Ni podatka
Hirschberglifte – Kreuth,Nemčija,778,1191,2.4,0.8,0.8,6,24
Le Chazelet,Francija,1740,2170,6,0,3,7,21
Neusell – Rothenthurm-Biberegg,Švica,954,1329,10,1.5,3.5,3,31
Bumbach (Schangnau),Švica,920,1365,10,1,6,4,37
Adelharz- and Breitensteinlifts – Kranzegg (Rettenberg),Nemčija,979,1320,9.5,0,5.5,4,22
Katzenkopf – Leutasch,Avstrija,1140,1363,3.2,0.5,1.8,2,41
Alpe Cialma – Locana,Italija,1350,1750,4,0,1,3,20
Kaberlaba,Italija,992,1142,5.6,0,3.6,6,34
Habkern – Sattelegg,Švica,1100,1485,8,2,2,2,39
Hochkeil am Hochkönig,Avstrija,1340,1770,8,2,3,5,54.50
Bannalp – Oberrickenbach,Švica,1663,1793,3,0,2.5,3,36
Aeschiried,Švica,927,1389,9.5,0,6.5,3,37
Tegelberg – Schwangau,Nemčija,830,1730,1.9,0,1.9,5,33
Kerenzerberg – Filzbach,Švica,746,1283,nan,nan,nan,Ni podatka,37
Reiserhang – Gaißach,Nemčija,722,860,1,0,0.5,2,22
Emberger Alm – Berg im Drautal,Avstrija,1650,2120,7,0.5,3,4,42
Gaberl/Plankogel – Salla (Maria Lankowitz),Avstrija,1303,1551,6.9,0.4,3.8,3,36
Val Formazza,Italija,1298,1772,3,0,1.5,3,23
Val Formica – Cima Larici,Italija,1645,1767,4,0,3,4,28
Mont Saxonnex,Francija,1050,1574,6.8,0.5,4.3,6,15
Pian delle Betulle – Margno,Italija,1550,1801,2.6,0.4,0.2,3,25
Fanas,Švica,900,1700,0.5,0,0.5,2,Ni podatka
Stoderzinken – Gröbming,Avstrija,1700,1975,8,1,4,4,Ni podatka
Rossfeld – Berchtesgaden-Oberau,Nemčija,1300,1554,8,0,7,4,28
Raggal,Avstrija,980,1300,7,0,4.2,4,25.50
Rathvel – Châtel-St-Denis,Švica,1211,1491,8,0,5,4,32
Hochschwarzeck – Ramsau bei Berchtesgaden,Nemčija,1020,1390,4.2,0,4.2,4,29
Schilt – Mollis,Švica,1100,1602,6,0,3,2,35
Mont Ventoux Sud,Francija,1440,1650,7,0,6,2,Ni podatka
Rossberg – Oberwil,Švica,1148,1464,7,0,3.2,2,39
Pany (Luzein),Švica,1330,1565,7,0,3.5,2,34
Spieserlifte – Unterjoch,Nemčija,1055,1350,7.3,0,3.3,4,33
Sollegg – Appenzell,Švica,813,1204,7,0,5,2,29
Seeberg – Seewiesen (Turnau),Avstrija,1158,1399,6,1,3,2,34
Mendelpass – Monte Roen,Italija,1368,1594,2,0,0.2,2,28
Blomberg – Bad Tölz/Wackersberg,Nemčija,703,1236,nan,nan,nan,Ni podatka,32
Kramsach,Avstrija,575,650,0.4,0,0.4,2,25
Jaunpass – Boltigen,Švica,1406,1608,6,1,3.8,4,39
Seebodenalp – Küssnacht,Švica,1036,1225,2.5,0,2,3,16
Trije Kralji,Slovenija,1200,1347,2.8,0,1.4,2,35
Gurtis/Bazora,Avstrija,920,1390,5,1,2,4,24
Springenboden,Švica,1207,1525,6,0.5,1.5,3,30
La Forclaz,Švica,1730,2200,5.3,1.7,1.6,4,30
Col de Porte,Francija,1200,1760,5,0,3,5,16.50
Hoislifts – Modriach (Edelschrott),Avstrija,1000,1230,6,0,5,4,25
St. Pierre de Chartreuse – Le Planolet,Francija,900,1800,5,0,2,5,15
Ruffrè – Monte Nock,Italija,1218,1342,1,0.5,0,Ni podatka,32
Vauplane – Soleilhas,Francija,1597,1809,6,0.5,4.5,4,Ni podatka
Silvretta Bielerhöhe – Partenen,Avstrija,1910,2030,2,0,2,2,51.50
Col d'Ornon,Francija,1350,2000,4.5,1.4,1.6,4,13
Brüsti – Attinghausen,Švica,1428,1601,1.5,0,0.1,4,34
Gantrisch Gurnigel,Švica,1340,1590,6,0,4,3,44
Macesnovc Rateče,Slovenija,866,1182,1.5,0,0.2,2,Ni podatka
Teichalm – Fladnitz,Avstrija,1200,1450,5.6,0.6,1.5,5,31
Eriz,Švica,1044,1378,6,0,4,6,36
Passo Fedaia – Pian dei Fiacconi (Marmolada),Italija,2080,2650,5.5,0,0,Ni podatka,59
Conca dell'Alben,Italija,1345,1420,1,0,0,Ni podatka,Ni podatka
Payel di Valsavarenche – Dégioz,Italija,1540,1681,1.7,0,1.7,Ni podatka,Ni podatka
Schnifisberg – Schnifis,Avstrija,674,1328,nan,nan,nan,Ni podatka,Ni podatka
La Jarjatte – Lus-la-Croix-Haute,Francija,1160,1521,6,0,6,6,17
Straža – Bled,Slovenija,503,634,1.3,0,1,3,17
Paluda – Dalaas,Avstrija,850,1150,4.7,1.2,2,Ni podatka,15
Maseben – Langtaufers (Vallelunga),Italija,1858,2266,5.8,0,2.9,Ni podatka,12
Hochbärneck – St. Anton an der Jeßnitz,Avstrija,880,1040,5,0,3,2,22.50
Hochwechsellifts – Mönichwald,Avstrija,996,1266,5,0,2.5,4,32
Steg im Tösstal,Švica,700,1000,5,0,3,2,32
Buchberg – Goldegg,Avstrija,832,1225,5,0,4,3,49
Wirzweli – Dallenwil,Švica,1215,1350,1,0,1,3,33
Le Reposoir – Village,Francija,1030,1132,5,0,4,4,15
Weissbriach (Gitschtal),Avstrija,820,1150,5,0,1,4,40
Monte Avena,Italija,1216,1447,5.3,0,2.7,3,Ni podatka
Hochlecken – Neukirchen (Altmünster),Avstrija,784,1079,4,1,2,5,21
Prato (Leventina),Švica,1045,1270,4,1,1,2,22
Monte Purito – Selvino,Italija,946,1111,1.1,0,0.1,3,20
Kolbensattel – Oberammergau,Nemčija,860,1276,1.8,0,1.2,6,23
Maiszinken – Lunz am See,Avstrija,760,1070,4.5,0.5,2,3,24
Presolana,Italija,1194,1368,1,0,0.4,3,32
Pian Neiretto,Italija,1300,1600,4,1.2,0.8,2,20
Haldigrat,Švica,1230,1937,nan,nan,nan,Ni podatka,Ni podatka
Romme – Nancy-sur-Cluses,Francija,920,1558,3,0.3,1.3,4,15
Heiden – Bischofsberg,Švica,810,940,5,0,4,2,30
Feldthurns (Velturno),Italija,1050,1165,1.5,0,1,Ni podatka,19
Rabenkopf – Oberau,Nemčija,682,760,0.5,0,0.5,Ni podatka,17
Biancoia – Conco,Italija,1090,1254,4.9,0,4.4,4,29
Tenna,Švica,1660,1780,4.5,0,3.5,Ni podatka,32
Schuttannen – Hohenems,Avstrija,1150,1320,4,0,2,2,15
Fischenthal-Aurüti – Oberegg,Švica,827,1052,4,0.8,1.7,2,31
Park kralja Matjaža – Črna na Koroškem,Slovenija,575,789,3,1,1,Ni podatka,21
Vorderthal – Skilift Wägital,Švica,750,1260,3,0,2,Ni podatka,Ni podatka
Bolbeno,Italija,573,663,0.5,0,0.5,2,Ni podatka
Prags (Braies),Italija,1428,1655,4.2,0,1,2,Ni podatka
Crissolo – Monviso,Italija,1333,1800,0.2,0,0.2,2,Ni podatka
Le Sappey en Chartreuse,Francija,960,1350,4,0,1.5,4,13
Tanzboden – Ebnat-Kappel,Švica,865,1181,3.5,0,2,2,34
Pian Cales – San Bernardino,Švica,1625,1791,4.5,0,2.9,4,27
Tonnerhütte – Mühlen,Avstrija,1640,1820,4,0,3,2,29
Alpsteinblick – Gonten,Švica,890,1142,4,0,3,3,29
Piani di Artavaggio – Moggio,Italija,1625,1644,0.5,0,0.5,5,30
St. Oswald (Kartitsch),Avstrija,1356,1820,4,0,1,3,41
Oberholz – Farner,Švica,852,1155,4,0,3,3,34
Hohwald – Beatenberg-Waldegg,Švica,1291,1605,4,0,2,3,34
St. Jakob im Walde,Avstrija,1000,1200,4,0,1,4,32
Les Rafforts – Héry sur Ugine,Francija,912,1224,3,1,1,2,Ni podatka
Aiguilles,Francija,1450,1619,3,0.5,2,3,21.30
Val Pelens,Francija,1600,1737,4,0,4,2,15
Dent de Jaman – Montreux,Švica,1354,1738,3,0,0,2,39
Ottenleue – Sangernboden,Švica,1450,1600,3.6,0.8,1.7,Ni podatka,28
Heiligkreuz-First – Hasle,Švica,1133,1468,4,0,2,2,27
Kluglifte Hebalm – Rettenbach (Deutschlandsberg),Avstrija,1350,1450,4,0,3,3,30
Eibisberg – Anger,Avstrija,963,1168,3.1,0.6,1.5,Ni podatka,Ni podatka
Niederthai (Umhausen),Avstrija,1532,1670,4,0,2,4,36
Aela – Maloja,Švica,1801,2136,3,1,0.5,2,37
Zugerberg,Švica,925,940,0.2,0,0.2,3,5
Tockneralmlift Krakauebene – Krakauhintermühlen (Krakau),Avstrija,1220,1450,3,0,1,2,26
Rencurel,Francija,1050,1233,3.1,0,2.5,3,10.40
Almblicklifts – Strallegg,Avstrija,699,994,3,0,2,4,32
Plainpalais,Francija,1165,1448,3,0,1.7,Ni podatka,25
Turmkogel – Puchenstuben,Avstrija,905,1138,3,0,0.4,3,24
Le Désert d'Entremont,Francija,1200,1400,3.5,0.5,2,3,14
Mastrils,Švica,720,940,3,0,2,Ni podatka,19
Prägraten am Großvenediger,Avstrija,1312,1440,2,0.5,1,2,30
Rucas di Bagnolo,Italija,1480,1780,3.6,0,0.9,2,21
